Assemblages;File Name;Alkalinity in R;;;Difference 
Pve-F1;Alkalinity_preT7_5[1]_22_07_19-11_02_02.csv;2,62318358974057;;;0,02185836979935
Pve-A1;Alkalinity_preT7_5[1]_22_07_19-11_08_45.csv;2,60431987858213;;;0,04072208095779
Pve-B1;Alkalinity_preT7_5[1]_22_07_19-11_14_55.csv;2,66694096973022;;;-0,02189901019030
Amu-D1;Alkalinity_preT7_5[1]_22_07_19-11_21_07.csv;2,64114139368074;;;0,00390056585918
Amu-B1;Alkalinity_preT7_5[1]_22_07_19-11_27_18.csv;2,64396625111301;;;0,00107570842691
Amu-A1;Alkalinity_preT7_5[1]_22_07_19-11_33_28.csv;2,65911689092340;;;-0,01407493138348
Plo-B1;Alkalinity_preT7_5[1]_22_07_19-11_39_49.csv;2,64413038176084;;;0,00091157777908
Plo-C1;Alkalinity_preT7_5[1]_22_07_19-11_46_53.csv;2,63177700646772;;;0,01326495307220
Plo-D1;Alkalinity_preT7_5[1]_22_07_19-11_52_44.csv;2,64693021598420;;;-0,00188825644428
control;Alkalinity_preT7_5[1]_22_07_19-11_59_24.csv;2,64504195953992;;;
Pve-F3;Alkalinity_preT7_5[1]_22_07_19-13_06_35.csv;2,58922044082224;;;0,04403146014791
Pve-A2;Alkalinity_preT7_5[1]_22_07_19-13_12_23.csv;2,61267868827476;;;0,02057321269539
Pve-B3;Alkalinity_preT7_5[1]_22_07_19-13_18_23.csv;2,58866064016015;;;0,04459126081000
Amu-D2;Alkalinity_preT7_5[1]_22_07_19-13_25_51.csv;2,62209933926561;;;0,01115256170454
Amu-B2;Alkalinity_preT7_5[1]_22_07_19-13_33_40.csv;2,63092076361048;;;0,00233113735967
Amu-A2;Alkalinity_preT7_5[1]_22_07_19-13_40_51.csv;2,62089305588165;;;0,01235884508850
Plo-B2;Alkalinity_preT7_5[1]_22_07_19-13_46_36.csv;2,61216048325593;;;0,02109141771422
Plo-C2;Alkalinity_preT7_5[1]_22_07_19-13_52_37.csv;2,62267148681982;;;0,01058041415033
Plo-D2;Alkalinity_preT7_5[1]_22_07_19-13_58_54.csv;2,62103841109055;;;0,01221348987960
control;Alkalinity_preT7_5[1]_22_07_19-14_04_44.csv;2,63325190097015;;;
Pve-F4;Alkalinity_preT7_5[1]_22_07_19-15_08_17.csv;2,57111628199281;;;0,04309686211131
Pve-A4;Alkalinity_preT7_5[1]_22_07_19-15_13_42.csv;2,56241891657659;;;0,05179422752753
Pve-B4;Alkalinity_preT7_5[1]_22_07_19-15_21_07.csv;2,57276248585004;;;0,04145065825408
Amu-D3;Alkalinity_preT7_5[1]_22_07_19-15_26_49.csv;2,61190614597831;;;0,00230699812581
Amu-B4;Alkalinity_preT7_5[1]_22_07_19-15_33_43.csv;2,61627334196687;;;-0,00206019786275
Amu-A3;Alkalinity_preT7_5[1]_22_07_19-15_39_24.csv;2,59773903001072;;;0,01647411409340
Plo-B3;Alkalinity_preT7_5[1]_22_07_19-15_46_03.csv;2,60273927932005;;;0,01147386478407
Plo-C3;Alkalinity_preT7_5[1]_22_07_19-15_54_47.csv;2,60652055533212;;;0,00769258877200
Plo-D3;Alkalinity_preT7_5[1]_22_07_19-16_00_24.csv;2,60475359640083;;;0,00945954770329
control;Alkalinity_preT7_5[1]_22_07_19-16_06_12.csv;2,61421314410412;;;
